Reservoir,Station,Date,Measure,TimeOfDay,Value,Unit,Season
Андижанское  вдхр.,,2022-04-05,объем,сред.,1095.0,млн м³,вегетация
г/п Учтепа,,2022-04-05,расход,сред.,131.0,м³/с,вегетация
г/п Каль,,2022-04-05,расход,сред.,295.0,м³/с,вегетация
г/п Каль,,2022-04-05,расход,утро,252.0,м³/с,вегетация
Рейка 01 выше Фархад. Пл,,2022-04-05,расход,сред.,319.24,м³/с,вегетация
г/п Кокбулак,,2022-04-05,расход,сред.,789.0,м³/с,вегетация
г/п Келес,,2022-04-05,расход,сред.,34.7,м³/с,вегетация
Токтогульское вдхр.,,2022-04-06,приток,сред.,238.0,м³/с,вегетация
Токтогульское вдхр.,,2022-04-06,попуск,сред.,103.0,м³/с,вегетация
Токтогульское вдхр.,,2022-04-06,объем,сред.,7895.0,млн м³,вегетация
Сброс с Учкурганская ГЭС,,2022-04-06,Сброс,сред.,202.0,м³/с,вегетация
Бахри   Точик вдхр. (г/п Акжар),,2022-04-06,приток,сред.,405.0,м³/с,вегетация
Бахри   Точик вдхр. (г/п Акжар),,2022-04-06,приток,утро,430.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-04-06,попуск,сред.,100.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-04-06,попуск,утро,100.0,м³/с,вегетация
г/п Кызылкишлак,,2022-04-06,расход,сред.,96.0,м³/с,вегетация
г/п Кызылкишлак,,2022-04-06,расход,утро,96.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-04-06,объем,сред.,3355.0,млн м³,вегетация
Шардаринское вдхр.,Казгидромет,2022-04-06,приток,сред.,639.7,м³/с,вегетация
Шардаринское вдхр.,Узгидромет,2022-04-06,приток,сред.,590.7,м³/с,вегетация
Шардаринское вдхр.,,2022-04-06,попуск,сред.,431.0,м³/с,вегетация
Кызылкумский канал,,2022-04-06,расход,сред.,40.0,м³/с,вегетация
Шардаринское вдхр.,,2022-04-06,объем,сред.,5074.0,млн м³,вегетация
Чарвакское вдхр.,,2022-04-06,приток,сред.,182.0,м³/с,вегетация
река Угам,,2022-04-06,расход,сред.,45.0,м³/с,вегетация
Чарвакское вдхр.,,2022-04-06,попуск,сред.,41.0,м³/с,вегетация
сброс Газалкентской ГЭС,,2022-04-06,расход,сред.,103.0,м³/с,вегетация
Чарвакское вдхр.,,2022-04-06,объем,сред.,685.0,млн м³,вегетация
