Reservoir,Station,Date,Measure,TimeOfDay,Value,Unit,Season
Шардаринское вдхр.,Казгидромет,2024-01-07,приток,сред.,748.0,м³/с,межвегетация
Шардаринское вдхр.,Узгидромет,2024-01-07,приток,сред.,782.0,м³/с,межвегетация
Шардаринское вдхр.,,2024-01-07,попуск,сред.,270.0,м³/с,межвегетация
Кызылкумский канал,,2024-01-07,расход,сред.,0.0,м³/с,межвегетация
Шардаринское вдхр.,,2024-01-07,объем,сред.,2424.0,млн м³,межвегетация
Чарвакское вдхр.,,2024-01-07,приток,сред.,73.3,м³/с,межвегетация
река Угам,,2024-01-07,расход,сред.,11.9,м³/с,межвегетация
Чарвакское вдхр.,,2024-01-07,попуск,сред.,148.0,м³/с,межвегетация
сброс Газалкентской ГЭС,,2024-01-07,расход,сред.,160.0,м³/с,межвегетация
Чарвакское вдхр.,,2024-01-07,объем,сред.,1015.0,млн м³,межвегетация
Андижанское  вдхр.,,2024-01-07,приток,сред.,39.0,м³/с,межвегетация
Андижанское  вдхр.,,2024-01-07,попуск,сред.,7.0,м³/с,межвегетация
Андижанское  вдхр.,,2024-01-07,объем,сред.,822.0,млн м³,межвегетация
г/п Учтепа,,2024-01-07,расход,сред.,142.0,м³/с,межвегетация
г/п Каль,,2024-01-07,расход,сред.,497.0,м³/с,межвегетация
г/п Каль,,2024-01-07,расход,утро,594.0,м³/с,межвегетация
Рейка 01 выше Фархад. Пл,,2024-01-07,расход,сред.,нет данных,м³/с,межвегетация
г/п Кокбулак,,2024-01-07,расход,сред.,721.0,м³/с,межвегетация
г/п Келес,,2024-01-07,расход,сред.,27.0,м³/с,межвегетация
Токтогульское вдхр.,,2024-01-08,приток,сред.,182.0,м³/с,межвегетация
Токтогульское вдхр.,,2024-01-08,попуск,сред.,501.0,м³/с,межвегетация
Токтогульское вдхр.,,2024-01-08,объем,сред.,10260.0,млн м³,межвегетация
Сброс с Учкурганская ГЭС,,2024-01-08,Сброс,сред.,нет данных,м³/с,межвегетация
Бахри   Точик вдхр. (г/п Акжар),,2024-01-08,приток,сред.,653.0,м³/с,межвегетация
Бахри   Точик вдхр. (г/п Акжар),,2024-01-08,приток,утро,679.0,м³/с,межвегетация
Бахри   Точик вдхр.,,2024-01-08,попуск,сред.,736.0,м³/с,межвегетация
Бахри   Точик вдхр.,,2024-01-08,попуск,утро,736.0,м³/с,межвегетация
г/п Кызылкишлак,,2024-01-08,расход,сред.,724.0,м³/с,межвегетация
г/п Кызылкишлак,,2024-01-08,расход,утро,724.0,м³/с,межвегетация
Бахри   Точик вдхр.,,2024-01-08,объем,сред.,2929.0,млн м³,межвегетация
Шардаринское вдхр.,Казгидромет,2024-01-08,приток,сред.,766.0,м³/с,межвегетация
Шардаринское вдхр.,Узгидромет,2024-01-08,приток,сред.,799.0,м³/с,межвегетация
Шардаринское вдхр.,,2024-01-08,попуск,сред.,270.0,м³/с,межвегетация
Кызылкумский канал,,2024-01-08,расход,сред.,0.0,м³/с,межвегетация
Шардаринское вдхр.,,2024-01-08,объем,сред.,2457.0,млн м³,межвегетация
Чарвакское вдхр.,,2024-01-08,приток,сред.,73.3,м³/с,межвегетация
река Угам,,2024-01-08,расход,сред.,11.4,м³/с,межвегетация
Чарвакское вдхр.,,2024-01-08,попуск,сред.,178.0,м³/с,межвегетация
сброс Газалкентской ГЭС,,2024-01-08,расход,сред.,173.0,м³/с,межвегетация
Чарвакское вдхр.,,2024-01-08,объем,сред.,1008.0,млн м³,межвегетация
Андижанское  вдхр.,,2024-01-08,приток,сред.,49.0,м³/с,межвегетация
Андижанское  вдхр.,,2024-01-08,попуск,сред.,7.0,м³/с,межвегетация
Андижанское  вдхр.,,2024-01-08,объем,сред.,825.0,млн м³,межвегетация
г/п Учтепа,,2024-01-08,расход,сред.,122.0,м³/с,межвегетация
г/п Каль,,2024-01-08,расход,сред.,442.0,м³/с,межвегетация
г/п Каль,,2024-01-08,расход,утро,508.0,м³/с,межвегетация
Рейка 01 выше Фархад. Пл,,2024-01-08,расход,сред.,нет данных,м³/с,межвегетация
г/п Кокбулак,,2024-01-08,расход,сред.,738.0,м³/с,межвегетация
г/п Келес,,2024-01-08,расход,сред.,28.0,м³/с,межвегетация
Токтогульское вдхр.,,2024-01-09,приток,сред.,155.0,м³/с,межвегетация
Токтогульское вдхр.,,2024-01-09,попуск,сред.,499.0,м³/с,межвегетация
Токтогульское вдхр.,,2024-01-09,объем,сред.,10232.0,млн м³,межвегетация
Сброс с Учкурганская ГЭС,,2024-01-09,Сброс,сред.,нет данных,м³/с,межвегетация
Бахри   Точик вдхр. (г/п Акжар),,2024-01-09,приток,сред.,679.0,м³/с,межвегетация
Бахри   Точик вдхр. (г/п Акжар),,2024-01-09,приток,утро,653.0,м³/с,межвегетация
Бахри   Точик вдхр.,,2024-01-09,попуск,сред.,736.0,м³/с,межвегетация
Бахри   Точик вдхр.,,2024-01-09,попуск,утро,736.0,м³/с,межвегетация
г/п Кызылкишлак,,2024-01-09,расход,сред.,552.0,м³/с,межвегетация
г/п Кызылкишлак,,2024-01-09,расход,утро,724.0,м³/с,межвегетация
Бахри   Точик вдхр.,,2024-01-09,объем,сред.,2923.0,млн м³,межвегетация
Шардаринское вдхр.,Казгидромет,2024-01-09,приток,сред.,763.1,м³/с,межвегетация
Шардаринское вдхр.,Узгидромет,2024-01-09,приток,сред.,802.1,м³/с,межвегетация
Шардаринское вдхр.,,2024-01-09,попуск,сред.,270.0,м³/с,межвегетация
Кызылкумский канал,,2024-01-09,расход,сред.,0.0,м³/с,межвегетация
Шардаринское вдхр.,,2024-01-09,объем,сред.,2500.0,млн м³,межвегетация
Чарвакское вдхр.,,2024-01-09,приток,сред.,72.9,м³/с,межвегетация
река Угам,,2024-01-09,расход,сред.,11.1,м³/с,межвегетация
Чарвакское вдхр.,,2024-01-09,попуск,сред.,174.0,м³/с,межвегетация
сброс Газалкентской ГЭС,,2024-01-09,расход,сред.,194.0,м³/с,межвегетация
Чарвакское вдхр.,,2024-01-09,объем,сред.,998.0,млн м³,межвегетация
Андижанское  вдхр.,,2024-01-09,приток,сред.,53.0,м³/с,межвегетация
Андижанское  вдхр.,,2024-01-09,попуск,сред.,7.0,м³/с,межвегетация
Андижанское  вдхр.,,2024-01-09,объем,сред.,828.0,млн м³,межвегетация
г/п Учтепа,,2024-01-09,расход,сред.,183.0,м³/с,межвегетация
г/п Каль,,2024-01-09,расход,сред.,549.0,м³/с,межвегетация
г/п Каль,,2024-01-09,расход,утро,594.0,м³/с,межвегетация
Рейка 01 выше Фархад. Пл,,2024-01-09,расход,сред.,нет данных,м³/с,межвегетация
г/п Кокбулак,,2024-01-09,расход,сред.,738.0,м³/с,межвегетация
г/п Келес,,2024-01-09,расход,сред.,25.1,м³/с,межвегетация
Токтогульское вдхр.,,2024-01-10,приток,сред.,171.0,м³/с,межвегетация
Токтогульское вдхр.,,2024-01-10,попуск,сред.,539.0,м³/с,межвегетация
Токтогульское вдхр.,,2024-01-10,объем,сред.,10200.0,млн м³,межвегетация
Сброс с Учкурганская ГЭС,,2024-01-10,Сброс,сред.,нет данных,м³/с,межвегетация
Бахри   Точик вдхр. (г/п Акжар),,2024-01-10,приток,сред.,745.0,м³/с,межвегетация
Бахри   Точик вдхр. (г/п Акжар),,2024-01-10,приток,утро,702.0,м³/с,межвегетация
Бахри   Точик вдхр.,,2024-01-10,попуск,сред.,600.0,м³/с,межвегетация
Бахри   Точик вдхр.,,2024-01-10,попуск,утро,600.0,м³/с,межвегетация
г/п Кызылкишлак,,2024-01-10,расход,сред.,578.0,м³/с,межвегетация
г/п Кызылкишлак,,2024-01-10,расход,утро,548.0,м³/с,межвегетация
Бахри   Точик вдхр.,,2024-01-10,объем,сред.,2929.0,млн м³,межвегетация
Шардаринское вдхр.,Казгидромет,2024-01-10,приток,сред.,787.9,м³/с,межвегетация
Шардаринское вдхр.,Узгидромет,2024-01-10,приток,сред.,795.9,м³/с,межвегетация
Шардаринское вдхр.,,2024-01-10,попуск,сред.,297.0,м³/с,межвегетация
Кызылкумский канал,,2024-01-10,расход,сред.,0.0,м³/с,межвегетация
Шардаринское вдхр.,,2024-01-10,объем,сред.,2537.0,млн м³,межвегетация
Чарвакское вдхр.,,2024-01-10,приток,сред.,71.8,м³/с,межвегетация
река Угам,,2024-01-10,расход,сред.,10.9,м³/с,межвегетация
Чарвакское вдхр.,,2024-01-10,попуск,сред.,186.0,м³/с,межвегетация
сброс Газалкентской ГЭС,,2024-01-10,расход,сред.,178.0,м³/с,межвегетация
Чарвакское вдхр.,,2024-01-10,объем,сред.,988.0,млн м³,межвегетация
Андижанское  вдхр.,,2024-01-10,приток,сред.,53.0,м³/с,межвегетация
Андижанское  вдхр.,,2024-01-10,попуск,сред.,7.0,м³/с,межвегетация
Андижанское  вдхр.,,2024-01-10,объем,сред.,832.0,млн м³,межвегетация
г/п Учтепа,,2024-01-10,расход,сред.,100.0,м³/с,межвегетация
г/п Каль,,2024-01-10,расход,сред.,493.0,м³/с,межвегетация
г/п Каль,,2024-01-10,расход,утро,512.0,м³/с,межвегетация
Рейка 01 выше Фархад. Пл,,2024-01-10,расход,сред.,нет данных,м³/с,межвегетация
г/п Кокбулак,,2024-01-10,расход,сред.,763.0,м³/с,межвегетация
г/п Келес,,2024-01-10,расход,сред.,24.9,м³/с,межвегетация
Токтогульское вдхр.,,2024-01-11,приток,сред.,143.0,м³/с,межвегетация
Токтогульское вдхр.,,2024-01-11,попуск,сред.,536.0,м³/с,межвегетация
Токтогульское вдхр.,,2024-01-11,объем,сред.,10171.0,млн м³,межвегетация
Сброс с Учкурганская ГЭС,,2024-01-11,Сброс,сред.,нет данных,м³/с,межвегетация
Бахри   Точик вдхр. (г/п Акжар),,2024-01-11,приток,сред.,706.0,м³/с,межвегетация
Бахри   Точик вдхр. (г/п Акжар),,2024-01-11,приток,утро,776.0,м³/с,межвегетация
Бахри   Точик вдхр.,,2024-01-11,попуск,сред.,600.0,м³/с,межвегетация
Бахри   Точик вдхр.,,2024-01-11,попуск,утро,600.0,м³/с,межвегетация
г/п Кызылкишлак,,2024-01-11,расход,сред.,552.0,м³/с,межвегетация
г/п Кызылкишлак,,2024-01-11,расход,утро,590.0,м³/с,межвегетация
Бахри   Точик вдхр.,,2024-01-11,объем,сред.,2929.0,млн м³,межвегетация
Шардаринское вдхр.,Казгидромет,2024-01-11,приток,сред.,685.8,м³/с,межвегетация
Шардаринское вдхр.,Узгидромет,2024-01-11,приток,сред.,614.8,м³/с,межвегетация
Шардаринское вдхр.,,2024-01-11,попуск,сред.,261.0,м³/с,межвегетация
Кызылкумский канал,,2024-01-11,расход,сред.,0.0,м³/с,межвегетация
Шардаринское вдхр.,,2024-01-11,объем,сред.,2547.0,млн м³,межвегетация
Чарвакское вдхр.,,2024-01-11,приток,сред.,72.4,м³/с,межвегетация
река Угам,,2024-01-11,расход,сред.,11.1,м³/с,межвегетация
Чарвакское вдхр.,,2024-01-11,попуск,сред.,150.0,м³/с,межвегетация
сброс Газалкентской ГЭС,,2024-01-11,расход,сред.,163.0,м³/с,межвегетация
Чарвакское вдхр.,,2024-01-11,объем,сред.,979.0,млн м³,межвегетация
Андижанское  вдхр.,,2024-01-11,приток,сред.,53.0,м³/с,межвегетация
Андижанское  вдхр.,,2024-01-11,попуск,сред.,7.0,м³/с,межвегетация
Андижанское  вдхр.,,2024-01-11,объем,сред.,836.0,млн м³,межвегетация
г/п Учтепа,,2024-01-11,расход,сред.,92.0,м³/с,межвегетация
г/п Каль,,2024-01-11,расход,сред.,468.0,м³/с,межвегетация
г/п Каль,,2024-01-11,расход,утро,460.0,м³/с,межвегетация
Рейка 01 выше Фархад. Пл,,2024-01-11,расход,сред.,нет данных,м³/с,межвегетация
г/п Кокбулак,,2024-01-11,расход,сред.,662.0,м³/с,межвегетация
г/п Келес,,2024-01-11,расход,сред.,23.8,м³/с,межвегетация
Токтогульское вдхр.,,2024-01-12,приток,сред.,172.0,м³/с,межвегетация
Токтогульское вдхр.,,2024-01-12,попуск,сред.,563.0,м³/с,межвегетация
Токтогульское вдхр.,,2024-01-12,объем,сред.,10137.0,млн м³,межвегетация
Сброс с Учкурганская ГЭС,,2024-01-12,Сброс,сред.,нет данных,м³/с,межвегетация
Бахри   Точик вдхр. (г/п Акжар),,2024-01-12,приток,сред.,698.0,м³/с,межвегетация
Бахри   Точик вдхр. (г/п Акжар),,2024-01-12,приток,утро,649.0,м³/с,межвегетация
Бахри   Точик вдхр.,,2024-01-12,попуск,сред.,600.0,м³/с,межвегетация
Бахри   Точик вдхр.,,2024-01-12,попуск,утро,600.0,м³/с,межвегетация
г/п Кызылкишлак,,2024-01-12,расход,сред.,582.0,м³/с,межвегетация
г/п Кызылкишлак,,2024-01-12,расход,утро,560.0,м³/с,межвегетация
Бахри   Точик вдхр.,,2024-01-12,объем,сред.,2938.0,млн м³,межвегетация
Шардаринское вдхр.,Казгидромет,2024-01-12,приток,сред.,617.6,м³/с,межвегетация
Шардаринское вдхр.,Узгидромет,2024-01-12,приток,сред.,593.6,м³/с,межвегетация
Шардаринское вдхр.,,2024-01-12,попуск,сред.,199.0,м³/с,межвегетация
Кызылкумский канал,,2024-01-12,расход,сред.,0.0,м³/с,межвегетация
Шардаринское вдхр.,,2024-01-12,объем,сред.,2594.0,млн м³,межвегетация
Чарвакское вдхр.,,2024-01-12,приток,сред.,71.0,м³/с,межвегетация
река Угам,,2024-01-12,расход,сред.,10.9,м³/с,межвегетация
Чарвакское вдхр.,,2024-01-12,попуск,сред.,152.0,м³/с,межвегетация
сброс Газалкентской ГЭС,,2024-01-12,расход,сред.,180.0,м³/с,межвегетация
Чарвакское вдхр.,,2024-01-12,объем,сред.,973.0,млн м³,межвегетация
Андижанское  вдхр.,,2024-01-12,приток,сред.,58.0,м³/с,межвегетация
Андижанское  вдхр.,,2024-01-12,попуск,сред.,7.0,м³/с,межвегетация
Андижанское  вдхр.,,2024-01-12,объем,сред.,840.0,млн м³,межвегетация
г/п Учтепа,,2024-01-12,расход,сред.,93.6,м³/с,межвегетация
г/п Каль,,2024-01-12,расход,сред.,538.0,м³/с,межвегетация
г/п Каль,,2024-01-12,расход,утро,500.0,м³/с,межвегетация
Рейка 01 выше Фархад. Пл,,2024-01-12,расход,сред.,нет данных,м³/с,межвегетация
г/п Кокбулак,,2024-01-12,расход,сред.,595.0,м³/с,межвегетация
г/п Келес,,2024-01-12,расход,сред.,22.6,м³/с,межвегетация
Токтогульское вдхр.,,2024-01-13,приток,сред.,150.0,м³/с,межвегетация
Токтогульское вдхр.,,2024-01-13,попуск,сред.,563.0,м³/с,межвегетация
Токтогульское вдхр.,,2024-01-13,объем,сред.,10101.0,млн м³,межвегетация
Сброс с Учкурганская ГЭС,,2024-01-13,Сброс,сред.,нет данных,м³/с,межвегетация
Бахри   Точик вдхр. (г/п Акжар),,2024-01-13,приток,сред.,687.0,м³/с,межвегетация
Бахри   Точик вдхр. (г/п Акжар),,2024-01-13,приток,утро,668.0,м³/с,межвегетация
Бахри   Точик вдхр.,,2024-01-13,попуск,сред.,600.0,м³/с,межвегетация
Бахри   Точик вдхр.,,2024-01-13,попуск,утро,600.0,м³/с,межвегетация
г/п Кызылкишлак,,2024-01-13,расход,сред.,582.0,м³/с,межвегетация
г/п Кызылкишлак,,2024-01-13,расход,утро,582.0,м³/с,межвегетация
Бахри   Точик вдхр.,,2024-01-13,объем,сред.,2957.0,млн м³,межвегетация
Шардаринское вдхр.,Казгидромет,2024-01-13,приток,сред.,622.6,м³/с,межвегетация
Шардаринское вдхр.,Узгидромет,2024-01-13,приток,сред.,597.6,м³/с,межвегетация
Шардаринское вдхр.,,2024-01-13,попуск,сред.,199.0,м³/с,межвегетация
Кызылкумский канал,,2024-01-13,расход,сред.,0.0,м³/с,межвегетация
Шардаринское вдхр.,,2024-01-13,объем,сред.,2635.0,млн м³,межвегетация
Чарвакское вдхр.,,2024-01-13,приток,сред.,71.3,м³/с,межвегетация
река Угам,,2024-01-13,расход,сред.,12.2,м³/с,межвегетация
Чарвакское вдхр.,,2024-01-13,попуск,сред.,213.0,м³/с,межвегетация
сброс Газалкентской ГЭС,,2024-01-13,расход,сред.,200.0,м³/с,межвегетация
Чарвакское вдхр.,,2024-01-13,объем,сред.,965.0,млн м³,межвегетация
Андижанское  вдхр.,,2024-01-13,приток,сред.,61.0,м³/с,межвегетация
Андижанское  вдхр.,,2024-01-13,попуск,сред.,7.0,м³/с,межвегетация
Андижанское  вдхр.,,2024-01-13,объем,сред.,844.0,млн м³,межвегетация
г/п Учтепа,,2024-01-13,расход,сред.,90.4,м³/с,межвегетация
г/п Каль,,2024-01-13,расход,сред.,508.0,м³/с,межвегетация
г/п Каль,,2024-01-13,расход,утро,565.0,м³/с,межвегетация
Рейка 01 выше Фархад. Пл,,2024-01-13,расход,сред.,нет данных,м³/с,межвегетация
г/п Кокбулак,,2024-01-13,расход,сред.,600.0,м³/с,межвегетация
г/п Келес,,2024-01-13,расход,сред.,22.6,м³/с,межвегетация
Токтогульское вдхр.,,2024-01-14,приток,сред.,176.0,м³/с,межвегетация
Токтогульское вдхр.,,2024-01-14,попуск,сред.,541.0,м³/с,межвегетация
Токтогульское вдхр.,,2024-01-14,объем,сред.,10063.0,млн м³,межвегетация
Сброс с Учкурганская ГЭС,,2024-01-14,Сброс,сред.,нет данных,м³/с,межвегетация
Бахри   Точик вдхр. (г/п Акжар),,2024-01-14,приток,сред.,741.0,м³/с,межвегетация
Бахри   Точик вдхр. (г/п Акжар),,2024-01-14,приток,утро,695.0,м³/с,межвегетация
Бахри   Точик вдхр.,,2024-01-14,попуск,сред.,600.0,м³/с,межвегетация
Бахри   Точик вдхр.,,2024-01-14,попуск,утро,600.0,м³/с,межвегетация
г/п Кызылкишлак,,2024-01-14,расход,сред.,582.0,м³/с,межвегетация
г/п Кызылкишлак,,2024-01-14,расход,утро,582.0,м³/с,межвегетация
Бахри   Точик вдхр.,,2024-01-14,объем,сред.,2982.0,млн м³,межвегетация
Шардаринское вдхр.,Казгидромет,2024-01-14,приток,сред.,618.7,м³/с,межвегетация
Шардаринское вдхр.,Узгидромет,2024-01-14,приток,сред.,642.7,м³/с,межвегетация
Шардаринское вдхр.,,2024-01-14,попуск,сред.,199.0,м³/с,межвегетация
Кызылкумский канал,,2024-01-14,расход,сред.,0.0,м³/с,межвегетация
Шардаринское вдхр.,,2024-01-14,объем,сред.,2671.0,млн м³,межвегетация
Чарвакское вдхр.,,2024-01-14,приток,сред.,74.4,м³/с,межвегетация
река Угам,,2024-01-14,расход,сред.,15.2,м³/с,межвегетация
Чарвакское вдхр.,,2024-01-14,попуск,сред.,172.0,м³/с,межвегетация
сброс Газалкентской ГЭС,,2024-01-14,расход,сред.,200.0,м³/с,межвегетация
Чарвакское вдхр.,,2024-01-14,объем,сред.,953.0,млн м³,межвегетация
Андижанское  вдхр.,,2024-01-14,приток,сред.,65.0,м³/с,межвегетация
Андижанское  вдхр.,,2024-01-14,попуск,сред.,7.0,м³/с,межвегетация
Андижанское  вдхр.,,2024-01-14,объем,сред.,849.0,млн м³,межвегетация
г/п Учтепа,,2024-01-14,расход,сред.,93.6,м³/с,межвегетация
г/п Каль,,2024-01-14,расход,сред.,546.0,м³/с,межвегетация
г/п Каль,,2024-01-14,расход,утро,615.0,м³/с,межвегетация
Рейка 01 выше Фархад. Пл,,2024-01-14,расход,сред.,нет данных,м³/с,межвегетация
г/п Кокбулак,,2024-01-14,расход,сред.,595.0,м³/с,межвегетация
г/п Келес,,2024-01-14,расход,сред.,23.7,м³/с,межвегетация
Токтогульское вдхр.,,2024-01-15,приток,сред.,171.0,м³/с,межвегетация
Токтогульское вдхр.,,2024-01-15,попуск,сред.,681.0,м³/с,межвегетация
Токтогульское вдхр.,,2024-01-15,объем,сред.,10032.0,млн м³,межвегетация
Сброс с Учкурганская ГЭС,,2024-01-15,Сброс,сред.,нет данных,м³/с,межвегетация
Бахри   Точик вдхр. (г/п Акжар),,2024-01-15,приток,сред.,745.0,м³/с,межвегетация
Бахри   Точик вдхр. (г/п Акжар),,2024-01-15,приток,утро,749.0,м³/с,межвегетация
Бахри   Точик вдхр.,,2024-01-15,попуск,сред.,600.0,м³/с,межвегетация
Бахри   Точик вдхр.,,2024-01-15,попуск,утро,600.0,м³/с,межвегетация
г/п Кызылкишлак,,2024-01-15,расход,сред.,582.0,м³/с,межвегетация
г/п Кызылкишлак,,2024-01-15,расход,утро,582.0,м³/с,межвегетация
Бахри   Точик вдхр.,,2024-01-15,объем,сред.,2948.0,млн м³,межвегетация
Шардаринское вдхр.,Казгидромет,2024-01-15,приток,сред.,664.1,м³/с,межвегетация
Шардаринское вдхр.,Узгидромет,2024-01-15,приток,сред.,689.1,м³/с,межвегетация
Шардаринское вдхр.,,2024-01-15,попуск,сред.,212.0,м³/с,межвегетация
Кызылкумский канал,,2024-01-15,расход,сред.,0.0,м³/с,межвегетация
Шардаринское вдхр.,,2024-01-15,объем,сред.,2694.0,млн м³,межвегетация
Чарвакское вдхр.,,2024-01-15,приток,сред.,78.8,м³/с,межвегетация
река Угам,,2024-01-15,расход,сред.,15.9,м³/с,межвегетация
Чарвакское вдхр.,,2024-01-15,попуск,сред.,197.0,м³/с,межвегетация
сброс Газалкентской ГЭС,,2024-01-15,расход,сред.,200.0,м³/с,межвегетация
Чарвакское вдхр.,,2024-01-15,объем,сред.,944.0,млн м³,межвегетация
Андижанское  вдхр.,,2024-01-15,приток,сред.,65.0,м³/с,межвегетация
Андижанское  вдхр.,,2024-01-15,попуск,сред.,25.0,м³/с,межвегетация
Андижанское  вдхр.,,2024-01-15,объем,сред.,852.0,млн м³,межвегетация
г/п Учтепа,,2024-01-15,расход,сред.,96.8,м³/с,межвегетация
г/п Каль,,2024-01-15,расход,сред.,523.0,м³/с,межвегетация
г/п Каль,,2024-01-15,расход,утро,534.0,м³/с,межвегетация
Рейка 01 выше Фархад. Пл,,2024-01-15,расход,сред.,нет данных,м³/с,межвегетация
г/п Кокбулак,,2024-01-15,расход,сред.,676.0,м³/с,межвегетация
г/п Келес,,2024-01-15,расход,сред.,33.4,м³/с,межвегетация
Токтогульское вдхр.,,2024-01-16,приток,сред.,151.0,м³/с,межвегетация
Токтогульское вдхр.,,2024-01-16,попуск,сред.,686.0,м³/с,межвегетация
Токтогульское вдхр.,,2024-01-16,объем,сред.,9983.0,млн м³,межвегетация
Сброс с Учкурганская ГЭС,,2024-01-16,Сброс,сред.,нет данных,м³/с,межвегетация
Бахри   Точик вдхр. (г/п Акжар),,2024-01-16,приток,сред.,776.0,м³/с,межвегетация
Бахри   Точик вдхр. (г/п Акжар),,2024-01-16,приток,утро,784.0,м³/с,межвегетация
Бахри   Точик вдхр.,,2024-01-16,попуск,сред.,600.0,м³/с,межвегетация
Бахри   Точик вдхр.,,2024-01-16,попуск,утро,600.0,м³/с,межвегетация
г/п Кызылкишлак,,2024-01-16,расход,сред.,582.0,м³/с,межвегетация
г/п Кызылкишлак,,2024-01-16,расход,утро,582.0,м³/с,межвегетация
Бахри   Точик вдхр.,,2024-01-16,объем,сред.,2987.0,млн м³,межвегетация
Шардаринское вдхр.,Казгидромет,2024-01-16,приток,сред.,715.8,м³/с,межвегетация
Шардаринское вдхр.,Узгидромет,2024-01-16,приток,сред.,718.8,м³/с,межвегетация
Шардаринское вдхр.,,2024-01-16,попуск,сред.,207.0,м³/с,межвегетация
Кызылкумский канал,,2024-01-16,расход,сред.,0.0,м³/с,межвегетация
Шардаринское вдхр.,,2024-01-16,объем,сред.,2736.0,млн м³,межвегетация
Чарвакское вдхр.,,2024-01-16,приток,сред.,75.3,м³/с,межвегетация
река Угам,,2024-01-16,расход,сред.,14.2,м³/с,межвегетация
Чарвакское вдхр.,,2024-01-16,попуск,сред.,213.0,м³/с,межвегетация
сброс Газалкентской ГЭС,,2024-01-16,расход,сред.,200.0,м³/с,межвегетация
Чарвакское вдхр.,,2024-01-16,объем,сред.,934.0,млн м³,межвегетация
Андижанское  вдхр.,,2024-01-16,приток,сред.,70.0,м³/с,межвегетация
Андижанское  вдхр.,,2024-01-16,попуск,сред.,25.0,м³/с,межвегетация
Андижанское  вдхр.,,2024-01-16,объем,сред.,855.0,млн м³,межвегетация
г/п Учтепа,,2024-01-16,расход,сред.,105.0,м³/с,межвегетация
г/п Каль,,2024-01-16,расход,сред.,636.0,м³/с,межвегетация
г/п Каль,,2024-01-16,расход,утро,636.0,м³/с,межвегетация
Рейка 01 выше Фархад. Пл,,2024-01-16,расход,сред.,нет данных,м³/с,межвегетация
г/п Кокбулак,,2024-01-16,расход,сред.,687.0,м³/с,межвегетация
г/п Келес,,2024-01-16,расход,сред.,34.7,м³/с,межвегетация
Токтогульское вдхр.,,2024-01-17,приток,сред.,165.0,м³/с,межвегетация
Токтогульское вдхр.,,2024-01-17,попуск,сред.,675.0,м³/с,межвегетация
Токтогульское вдхр.,,2024-01-17,объем,сред.,9937.0,млн м³,межвегетация
Сброс с Учкурганская ГЭС,,2024-01-17,Сброс,сред.,нет данных,м³/с,межвегетация
Бахри   Точик вдхр. (г/п Акжар),,2024-01-17,приток,сред.,845.0,м³/с,межвегетация
Бахри   Точик вдхр. (г/п Акжар),,2024-01-17,приток,утро,764.0,м³/с,межвегетация
Бахри   Точик вдхр.,,2024-01-17,попуск,сред.,600.0,м³/с,межвегетация
Бахри   Точик вдхр.,,2024-01-17,попуск,утро,600.0,м³/с,межвегетация
г/п Кызылкишлак,,2024-01-17,расход,сред.,582.0,м³/с,межвегетация
г/п Кызылкишлак,,2024-01-17,расход,утро,582.0,м³/с,межвегетация
Бахри   Точик вдхр.,,2024-01-17,объем,сред.,2977.0,млн м³,межвегетация
Шардаринское вдхр.,Казгидромет,2024-01-17,приток,сред.,719.9,м³/с,межвегетация
Шардаринское вдхр.,Узгидромет,2024-01-17,приток,сред.,707.9,м³/с,межвегетация
Шардаринское вдхр.,,2024-01-17,попуск,сред.,199.0,м³/с,межвегетация
Кызылкумский канал,,2024-01-17,расход,сред.,0.0,м³/с,межвегетация
Шардаринское вдхр.,,2024-01-17,объем,сред.,2777.0,млн м³,межвегетация
Чарвакское вдхр.,,2024-01-17,приток,сред.,78.0,м³/с,межвегетация
река Угам,,2024-01-17,расход,сред.,13.5,м³/с,межвегетация
Чарвакское вдхр.,,2024-01-17,попуск,сред.,218.0,м³/с,межвегетация
сброс Газалкентской ГЭС,,2024-01-17,расход,сред.,218.0,м³/с,межвегетация
Чарвакское вдхр.,,2024-01-17,объем,сред.,921.0,млн м³,межвегетация
Андижанское  вдхр.,,2024-01-17,приток,сред.,66.0,м³/с,межвегетация
Андижанское  вдхр.,,2024-01-17,попуск,сред.,7.0,м³/с,межвегетация
Андижанское  вдхр.,,2024-01-17,объем,сред.,859.0,млн м³,межвегетация
г/п Учтепа,,2024-01-17,расход,сред.,96.8,м³/с,межвегетация
г/п Каль,,2024-01-17,расход,сред.,657.0,м³/с,межвегетация
г/п Каль,,2024-01-17,расход,утро,666.0,м³/с,межвегетация
Рейка 01 выше Фархад. Пл,,2024-01-17,расход,сред.,нет данных,м³/с,межвегетация
г/п Кокбулак,,2024-01-17,расход,сред.,685.0,м³/с,межвегетация
г/п Келес,,2024-01-17,расход,сред.,34.9,м³/с,межвегетация
Токтогульское вдхр.,,2024-01-18,приток,сред.,184.0,м³/с,межвегетация
Токтогульское вдхр.,,2024-01-18,попуск,сред.,690.0,м³/с,межвегетация
Токтогульское вдхр.,,2024-01-18,объем,сред.,9895.0,млн м³,межвегетация
Сброс с Учкурганская ГЭС,,2024-01-18,Сброс,сред.,нет данных,м³/с,межвегетация
Бахри   Точик вдхр. (г/п Акжар),,2024-01-18,приток,сред.,885.0,м³/с,межвегетация
